section,bar,x1,y1,x2,y2,index,count,name
1,3,311.0,342.0,223.0,296.0,0,30,1 - 1A
1,2,224.0,294.0,296.0,246.0,30,30,1 - 1B
1,4,311.0,340.0,295.0,243.0,64,30,1 - 2A
1,1,295.0,247.0,224.0,226.0,94,30,1 - 2B
1,7,315.0,343.0,367.0,268.0,320,30,1 - 3A
1,5,366.0,268.0,298.0,249.0,158,30,1 - 3B
1,10,311.0,342.0,392.0,376.0,192,30,1 - 4A
1,11,393.0,375.0,366.0,268.0,222,30,1 - 4B
1,9,313.0,341.0,311.0,431.0,256,30,1 - 5A
1,14,311.0,428.0,392.0,375.0,286,30,1 - 5B
1,6,310.0,343.0,227.0,368.0,128,30,1 - 6A
1,8,223.0,369.0,311.0,432.0,350,30,1 - 6B
1,12,366.0,270.0,437.0,291.0,414,30,1 - 7A
1,15,436.0,291.0,392.0,372.0,448,30,1 - 7B
1,13,313.0,427.0,225.0,445.0,384,30,1 - 8A
2,3,362.0,178.0,296.0,246.0,512,30,2 - 1A
2,2,296.0,247.0,269.0,162.0,542,30,2 - 1B
2,4,364.0,178.0,269.0,166.0,576,30,2 - 2A
2,1,269.0,163.0,224.0,225.0,606,30,2 - 2B
2,7,367.0,179.0,312.0,100.0,832,30,2 - 3A
2,5,316.0,101.0,268.0,164.0,670,30,2 - 3B
2,10,363.0,179.0,421.0,110.0,704,30,2 - 4A
2,11,420.0,110.0,311.0,101.0,734,30,2 - 4B
2,9,361.0,178.0,446.0,200.0,768,30,2 - 5A
2,14,446.0,200.0,420.0,109.0,798,30,2 - 5B
2,6,365.0,178.0,366.0,269.0,640,30,2 - 6A
2,8,366.0,270.0,446.0,201.0,862,30,2 - 6B
2,12,313.0,101.0,357.0,40.0,926,30,2 - 7A
2,15,356.0,39.0,420.0,109.0,960,30,2 - 7B
2,13,447.0,200.0,437.0,290.0,896,30,2 - 8A
3,3,224.0,76.0,270.0,164.0,1024,30,3 - 1A
3,2,271.0,164.0,176.0,163.0,1054,30,3 - 1B
3,4,222.0,75.0,178.0,162.0,1088,30,3 - 2A
3,1,179.0,160.0,222.0,224.0,1118,30,3 - 2B
3,7,220.0,74.0,132.0,102.0,1344,30,3 - 3A
3,5,134.0,100.0,178.0,164.0,1182,30,3 - 3B
3,10,226.0,78.0,178.0,5.0,1216,30,3 - 4A
3,11,177.0,11.0,136.0,102.0,1246,30,3 - 4B
3,9,223.0,75.0,267.0,7.0,1280,30,3 - 5A
3,14,266.0,7.0,180.0,6.0,1310,30,3 - 5B
3,6,223.0,74.0,311.0,100.0,1152,30,3 - 6A
3,8,311.0,102.0,269.0,8.0,1374,30,3 - 6B
3,12,134.0,101.0,91.0,41.0,1438,30,3 - 7A
3,15,91.0,40.0,178.0,6.0,1472,30,3 - 7B
3,13,267.0,6.0,355.0,39.0,1408,30,3 - 8A
4,3,85.0,177.0,176.0,162.0,1536,30,4 - 1A
4,2,176.0,164.0,154.0,247.0,1566,30,4 - 1B
4,4,83.0,177.0,152.0,247.0,1600,30,4 - 2A
4,1,153.0,248.0,223.0,225.0,1630,30,4 - 2B
4,7,83.0,175.0,81.0,272.0,1856,30,4 - 3A
4,5,81.0,272.0,152.0,248.0,1694,30,4 - 3B
4,10,87.0,175.0,3.0,199.0,1728,30,4 - 4A
4,11,1.0,202.0,82.0,270.0,1758,30,4 - 4B
4,9,85.0,179.0,29.0,111.0,1792,30,4 - 5A
4,14,31.0,113.0,1.0,195.0,1822,30,4 - 5B
4,6,82.0,176.0,133.0,101.0,1664,30,4 - 6A
4,8,138.0,100.0,32.0,110.0,1886,30,4 - 6B
4,12,81.0,272.0,11.0,296.0,1950,30,4 - 7A
4,15,10.0,294.0,0.0,197.0,1984,30,4 - 7B
4,13,32.0,111.0,90.0,42.0,1920,30,4 - 8A
5,3,135.0,346.0,152.0,250.0,2048,30,5 - 1A
5,2,151.0,248.0,225.0,295.0,2078,30,5 - 1B
5,4,135.0,343.0,224.0,296.0,2112,30,5 - 2A
5,1,224.0,296.0,225.0,225.0,2142,30,5 - 2B
5,7,135.0,343.0,222.0,369.0,2368,30,5 - 3A
5,5,223.0,372.0,225.0,295.0,2206,30,5 - 3B
5,10,136.0,343.0,129.0,428.0,2240,30,5 - 4A
5,11,128.0,428.0,224.0,369.0,2270,30,5 - 4B
5,9,132.0,343.0,59.0,375.0,2304,30,5 - 5A
5,14,57.0,373.0,130.0,428.0,2334,30,5 - 5B
5,6,137.0,343.0,81.0,271.0,2176,30,5 - 6A
5,8,81.0,271.0,59.0,372.0,2398,30,5 - 6B
5,12,224.0,372.0,223.0,448.0,2462,30,5 - 7A
5,15,224.0,448.0,129.0,428.0,2496,30,5 - 7B
5,13,57.0,371.0,11.0,297.0,2432,30,5 - 8A
